Entity_ID,Entity_Name,Short_Name,Entity_Type,Ticker,Country,Sector,Industry,Data_Source_Type,Priority,News_Query,Google_Trends_Query,Search_Query,YouTube_Query,Website,CIK
ARAMCO,Saudi_Aramco,Aramco,Company,,Saudi_Arabia,Energy,Oil_and_Gas,Institutional,Critical,Saudi Aramco,Saudi Aramco,Saudi Aramco,Saudi Aramco,https://www.aramco.com,
SABIC,Saudi_Basic_Industries_Corporation,SABIC,Company,,Saudi_Arabia,Industrials,Chemicals_and_Materials,Institutional,High,SABIC,SABIC,SABIC Saudi,SABIC,https://www.sabic.com,
STC_SAUDI,Saudi_Telecom_Company,stc,Company,,Saudi_Arabia,Telecommunications,Telecom_and_Digital,Institutional,High,stc Saudi Telecom,stc Saudi,Saudi Telecom Company,stc Saudi,https://www.stc.com.sa,
PIF_SAUDI,Public_Investment_Fund_Saudi_Arabia,PIF,Government,,Saudi_Arabia,Financial_Services,Sovereign_Wealth_Fund,Government,Critical,Saudi Public Investment Fund,Saudi PIF,Public Investment Fund Saudi Arabia,Saudi PIF,https://www.pif.gov.sa,
SAMA,Saudi_Central_Bank,SAMA,Government,,Saudi_Arabia,Financial_Services,Central_Bank,Government,Critical,Saudi Central Bank SAMA,SAMA,Saudi Central Bank,SAMA,https://www.sama.gov.sa,
SDAIA,Saudi_Data_and_AI_Authority,SDAIA,Government,,Saudi_Arabia,Technology,AI_and_Data_Governance,Government,Critical,Saudi Data and AI Authority,SDAIA,Saudi Data AI Authority,SDAIA,https://sdaia.gov.sa,
NEOM,NEOM,NEOM,Company,,Saudi_Arabia,Infrastructure,Smart_Cities_and_Development,Institutional,High,NEOM,NEOM,NEOM Saudi Arabia,NEOM,https://www.neom.com,
ALRAJHI,Al_Rajhi_Bank,Al_Rajhi,Company,,Saudi_Arabia,Financial_Services,Banking,Institutional,High,Al Rajhi Bank,Al Rajhi Bank,Al Rajhi Bank,Al Rajhi Bank,https://www.alrajhibank.com.sa,
SNB_SAUDI,Saudi_National_Bank,Saudi_National_Bank,Company,,Saudi_Arabia,Financial_Services,Banking,Institutional,High,Saudi National Bank,Saudi National Bank,Saudi National Bank,Saudi National Bank,https://www.alahli.com,
ADNOC,Abu_Dhabi_National_Oil_Company,ADNOC,Company,,United_Arab_Emirates,Energy,Oil_and_Gas,Institutional,Critical,ADNOC,ADNOC,Abu Dhabi National Oil Company,ADNOC,https://www.adnoc.ae,
EMIRATES,Emirates_Airline,Emirates,Company,,United_Arab_Emirates,Transportation,Airlines,Institutional,High,Emirates Airline,Emirates Airline,Emirates Airline,Emirates Airline,https://www.emirates.com,
EAND,e_and,e_and,Company,,United_Arab_Emirates,Telecommunications,Telecom_and_Digital,Institutional,High,e& UAE telecom,e& UAE,e& UAE,e& UAE,https://www.eand.com,
FAB,First_Abu_Dhabi_Bank,FAB,Company,,United_Arab_Emirates,Financial_Services,Banking,Institutional,High,First Abu Dhabi Bank,First Abu Dhabi Bank,FAB UAE bank,First Abu Dhabi Bank,https://www.bankfab.com,
EMIRATES_NBD,Emirates_NBD,Emirates_NBD,Company,,United_Arab_Emirates,Financial_Services,Banking,Institutional,High,Emirates NBD,Emirates NBD,Emirates NBD,Emirates NBD,https://www.emiratesnbd.com,
MUBADALA,Mubadala_Investment_Company,Mubadala,Government,,United_Arab_Emirates,Financial_Services,Sovereign_Investment,Government,Critical,Mubadala Investment Company,Mubadala,Mubadala Investment Company,Mubadala,https://www.mubadala.com,
ADIA,Abu_Dhabi_Investment_Authority,ADIA,Government,,United_Arab_Emirates,Financial_Services,Sovereign_Wealth_Fund,Government,Critical,Abu Dhabi Investment Authority,ADIA,Abu Dhabi Investment Authority,ADIA,https://www.adia.ae,
G42,G42,G42,Company,,United_Arab_Emirates,Technology,Artificial_Intelligence,Institutional,Critical,G42 AI,G42 AI,G42 artificial intelligence,G42 AI,https://www.g42.ai,
QATARENERGY,QatarEnergy,QatarEnergy,Government,,Qatar,Energy,Oil_and_Gas,Government,Critical,QatarEnergy,QatarEnergy,Qatar Energy,QatarEnergy,https://www.qatarenergy.qa,
QATAR_AIRWAYS,Qatar_Airways,Qatar_Airways,Company,,Qatar,Transportation,Airlines,Institutional,High,Qatar Airways,Qatar Airways,Qatar Airways,Qatar Airways,https://www.qatarairways.com,
QNB,Qatar_National_Bank,QNB,Company,,Qatar,Financial_Services,Banking,Institutional,High,Qatar National Bank,QNB,Qatar National Bank QNB,QNB,https://www.qnb.com,
QIA,Qatar_Investment_Authority,QIA,Government,,Qatar,Financial_Services,Sovereign_Wealth_Fund,Government,Critical,Qatar Investment Authority,QIA,Qatar Investment Authority,QIA,https://www.qia.qa,
OOREDOO_QATAR,Ooredoo_Qatar,Ooredoo_Qatar,Company,,Qatar,Telecommunications,Telecom,Institutional,High,Ooredoo Qatar,Ooredoo Qatar,Ooredoo Qatar,Ooredoo Qatar,https://www.ooredoo.qa,
KPC,Kuwait_Petroleum_Corporation,KPC,Government,,Kuwait,Energy,Oil_and_Gas,Government,Critical,Kuwait Petroleum Corporation,KPC Kuwait,Kuwait Petroleum Corporation,KPC Kuwait,https://www.kpc.com.kw,
NBK,National_Bank_of_Kuwait,NBK,Company,,Kuwait,Financial_Services,Banking,Institutional,High,National Bank of Kuwait,NBK Kuwait,National Bank of Kuwait,NBK Kuwait,https://www.nbk.com,
KFH,Kuwait_Finance_House,KFH,Company,,Kuwait,Financial_Services,Banking,Institutional,High,Kuwait Finance House,KFH,Kuwait Finance House,KFH,https://www.kfh.com,
CBK_KUWAIT,Central_Bank_of_Kuwait,CBK_Kuwait,Government,,Kuwait,Financial_Services,Central_Bank,Government,Critical,Central Bank of Kuwait,Central Bank of Kuwait,Central Bank Kuwait,Central Bank Kuwait,https://www.cbk.gov.kw,
BAPCO_ENERGIES,Bapco_Energies,Bapco_Energies,Government,,Bahrain,Energy,Energy_Holding,Government,Critical,Bapco Energies,Bapco Energies,Bapco Energies Bahrain,Bapco Energies,https://www.bapcoenergies.com,
BEYON,Beyon,Beyon,Company,,Bahrain,Telecommunications,Telecom_and_Digital,Institutional,High,Beyon Bahrain,Beyon,Beyon Bahrain telecom,Beyon Bahrain,https://www.beyon.com,
BANK_ABC,Bank_ABC,Bank_ABC,Company,,Bahrain,Financial_Services,Banking,Institutional,High,Bank ABC Bahrain,Bank ABC,Bank ABC Bahrain,Bank ABC,https://www.bank-abc.com,
CBB,Central_Bank_of_Bahrain,CBB,Government,,Bahrain,Financial_Services,Central_Bank,Government,Critical,Central Bank of Bahrain,Central Bank of Bahrain,CBB Bahrain,Central Bank Bahrain,https://www.cbb.gov.bh,
